Year,Month,TfA
2016,1,1209
2016,2,979
2016,3,1113
2016,4,1059
2016,5,1137
2016,6,1028
2016,7,1117
2016,8,964
2016,9,936
2016,10,1028
2016,11,915
2016,12,829
2017,1,823
2017,2,729
2017,3,958
2017,4,929
2017,5,947
2017,6,1025
2017,7,1063
2017,8,1176
2017,9,1133
2017,10,1279
2017,11,1229
2017,12,1226
2018,1,1327
2018,2,1085
2018,3,1097
2018,4,1245
2018,5,1094
2018,6,1152
2018,7,1052
2018,8,1207
2018,9,1244
2018,10,1230
2018,11,1359
2018,12,1447
2019,1,1528
2019,2,1100
2019,3,1222
2019,4,1292
2019,5,1414
2019,6,1244
2019,7,1459
2019,8,1445
2019,9,1575
2019,10,1576
2019,11,1363
2019,12,1183
2020,1,1270
2020,2,1222
2020,3,1065
2020,4,890
2020,5,541
2020,6,463
2020,7,629
2020,8,788
2020,9,805
2020,10,787
2020,11,659
2020,12,604
2021,1,644
2021,2,554
2021,3,504
2021,4,502
2021,5,534
2021,6,527
2021,7,641
2021,8,694
2021,9,686
2021,10,561
2021,11,612
2021,12,556
2022,1,588
2022,2,535
2022,3,658
2022,4,290
2022,5,591
2022,6,601
2022,7,542
2022,8,561
2022,9,622
2022,10,635
2022,11,485
2022,12,456
2023,1,628
2023,2,489
2023,3,645
2023,4,529
2023,5,570
2023,6,627
2023,7,685
2023,8,715
2023,9,615
2023,10,679
2023,11,463
2023,12,472
2024,1,491
2024,2,443
2024,3,476
2024,4,530
2024,5,507
2024,6,514
2024,7,499
2024,8,466
2024,9,425
2024,10,374
2024,11,391
2024,12,421
